#	TYPE	Label	IUC Name	Main task area	Related task area	participates in Project collabrations	Main requirements	Material/Data description	Main success scenario	Added value for matwerk community	participates in process	is output of	bearer of
ID	TYPE	A rdfs:label	I ‘denoted by’	I ‘has continuant part’ SPLIT=,	I ‘has continuant part’ SPLIT=,	I ‘participates in’ SPLIT=,	I ‘denoted by’	I ‘denoted by’	I ‘denoted by’	I ‘denoted by’	I ‘participates in’	I ‘is output of’	I ‘bearer of’
https://purls.helmholtz-metadaten.de/msekg/174540337063711	infrastructure use case	IUC11	Development of coupled ontologies and workflows for thermochemical treatments	TA-OMS	TA-WSD	PP17,PP20	Ontology for representation of heat treatment and transformation in structural materials; Workflow management systems can be adapted during use (e.g., primary data acquisition, assertion augmentation, heterogeneous post-processing); Tools for automated data assembly, Data augmentation and condensation for advanced data handling; Cross-Sectional Requirement: Data standards with NFDI4Ing	high strength structural materials / time-temperature-transformation relations to microstructures	Users can utilize a knowledge graph populated by process and material data to predict microstructures and their alteration by thermochemical heat treatments. Using a graph based experimental data structure enables a FAIR data Storage Service to allow for a new level of reproducibility and comparability of experimental results from different experimental setups and groups	Concepts for the combined ontologies will be developed, combining thermochemical processing and materials transformation. General framework for heat treatment representation and resulting erroneous and intended experimental impact on materials microstructure.		IUCProcess 11	IUCRole 11
https://purls.helmholtz-metadaten.de/msekg/174540337063712	infrastructure use case	IUC12	Alignment of application- and higher-level ontologies	TA-OMS	TA-SD	PP5,PP8,PP11,PP19,PP20	Existing application domain or general ontologies; Basis ontology advisory; Ontology development support; Software Interfaces for ontology alignment; Cross-Sectional Requirement: Generally necessary ontology frameworks, formalized units, interfaces, ontology visualization	Other ontologies, e.g. EMMO, ontologies from NIST	Users are able to easily connect application and higher level ontologies with general ontologies.	Consistently interface with all neighboring communities and benefit from their expertise.		IUCProcess 12	IUCRole 12
https://purls.helmholtz-metadaten.de/msekg/174540337063713	infrastructure use case	IUC13	Co-creation environment for experts	TA-OMS	TA-WSD	PP8,PP12,PP20	Basis Ontology advisory; Ontology development support; Multi-scale bridging ontologies; Software Interfaces for accessing workflow data semantically; Implementation of DME for applying the representation; Cross-Sectional Requirement: Generally necessary Ontology frameworks, including tools for building knowledge graphs for non-experts, formalized units, interfaces, ontology visualization	This depends on the selected expert scenarios, currently, including Mat-o-Lab’s Use Cases on Steel, Copper and fiber-composites	MSE-domain experts and interdisciplinary contributors from informatics and information science can jointly work on digitizing scientific workflows and develop their semantic representations.	Known and teachable processes for transforming expert domain knowledge into formalized structures as well as the resulting formalized workflows themselves		IUCProcess 13	IUCRole 13
https://purls.helmholtz-metadaten.de/msekg/174540337063714	infrastructure use case	IUC14	Adaptive automated characterization pipelines and meta data schemas for high throughput experiments	TA-OMS	TA-MDI,TA-WSD	PP1	Standardized formats for data and metadata; Flexible Storage Service of large amount of data obtained in high-throughput measurements; Workflow management systems that can be adapted during use; Combination of automated experimental characterization and automated data analysis; Device software; ELN	Combinatorial thin films synthesis and automatized X-ray diffraction data analysis	A toolkit for the automated handling of all meta data during sample characterization is set up. This allows for a high-throughput analysis of structural data for materials design and materials discovery	Data management for automated experimental characterization techniques; Concepts and software solutions for a continuous adaptation of data management workflows in conjunction with a developing meta data schema		IUCProcess 14	IUCRole 14
https://purls.helmholtz-metadaten.de/msekg/174540337063715	infrastructure use case	IUC15	Method- and scale-bridging workflows and data structures for tomography	TA-OMS	TA-CI,TA-WSD	PP10,PP13	Ontology development support (TA-OMS); Multiscale-bridging ontologies (TA-OMS); Support from professional societies to identify relevant data by involvement of expert committees (TA-CI); Metadata Store (TA-MDI), Graphical programming language (TA-WSD); Cross-Sectional Requirement: Common data standards and formats (FAIRMat, NFDI4Ing)	Tomographic data and related mechanical simulations of mainly metallic materials	A description of scale- and method-bridging ontology and workflows has been developed which allows to connect tomographic (meta-)data and related mechanical simulations from a given sample.	A general framework for workflows and metadata of materials tomographies and related microstructure features is supplied.		IUCProcess 15	IUCRole 15
https://purls.helmholtz-metadaten.de/msekg/174540337063716	infrastructure use case	IUC16	Unified ontology for matrix-inclusion microstructure and composites	TA-OMS	TA-MDI,TA-WSD	PP7,PP10	Ontology metadata schema; Ontology development support; Multiscale-bridging ontologies	various materials with matrix-inclusion morphology (containing, e.g., particles, fibers, whiskers) / microstructure data from experiments, simulations and abstract models	users from different disciplines can query matrix-inclusion morphology information from various sources of data; the main application is the exploitation of the microstructural data in simulations, surrogate modeling and in connecting experimental evidence with models	The ontology can be used in many applications, both for existing data and newly captured data sets and can be generalized to other materials.		IUCProcess 16	IUCRole 16
https://purls.helmholtz-metadaten.de/msekg/174540337063717	infrastructure use case	IUC17	Ontologies for defects in crystals	TA-OMS	TA-CI,TA-WSD	PP1,PP11,PP18	Metadata store; Software tools for creating and visualizing ontologies, formalized units; Cross-Sectional Requirement: Common data standards, generally necessary Ontology frameworks	Single- and polycrystalline materials/metals including superalloys and HEAs / Simulation data as well as postprocessed microscopy data	Users can describe the defect structure with a defined vocabulary and quantitative mathematical representation that is comparable between experiments and transferable to simulations	A consistent and standardized description of crystalline structures and defects that can easily be extended and adjusted		IUCProcess 17	IUCRole 17
https://purls.helmholtz-metadaten.de/msekg/174653521755226	nfdi matwerk consortium	IUC1_organization									IUCProcess 1		
https://purls.helmholtz-metadaten.de/msekg/174653521755227	nfdi matwerk consortium	IUC2_organization									IUCProcess 2		
https://purls.helmholtz-metadaten.de/msekg/174653521755228	nfdi matwerk consortium	IUC3_organization									IUCProcess 3		
https://purls.helmholtz-metadaten.de/msekg/174653521755229	nfdi matwerk consortium	IUC4_organization									IUCProcess 4		
https://purls.helmholtz-metadaten.de/msekg/174653521755230	nfdi matwerk consortium	IUC5_organization									IUCProcess 5		
https://purls.helmholtz-metadaten.de/msekg/174653521755231	nfdi matwerk consortium	IUC6_organization									IUCProcess 6		
https://purls.helmholtz-metadaten.de/msekg/174653521755232	nfdi matwerk consortium	IUC7_organization									IUCProcess 7		
https://purls.helmholtz-metadaten.de/msekg/174653521755233	nfdi matwerk consortium	IUC8_organization									IUCProcess 8		
https://purls.helmholtz-metadaten.de/msekg/174653521755234	nfdi matwerk consortium	IUC9_organization									IUCProcess 9		
https://purls.helmholtz-metadaten.de/msekg/174653521755235	nfdi matwerk consortium	IUC10_organization									IUCProcess 10		
https://purls.helmholtz-metadaten.de/msekg/174653521755236	nfdi matwerk consortium	IUC11_organization									IUCProcess 11		
https://purls.helmholtz-metadaten.de/msekg/174653521755237	nfdi matwerk consortium	IUC12_organization									IUCProcess 12		
https://purls.helmholtz-metadaten.de/msekg/174653521755238	nfdi matwerk consortium	IUC13_organization									IUCProcess 13		
https://purls.helmholtz-metadaten.de/msekg/174653521755239	nfdi matwerk consortium	IUC14_organization									IUCProcess 14		
https://purls.helmholtz-metadaten.de/msekg/174653521755240	nfdi matwerk consortium	IUC15_organization									IUCProcess 15		
https://purls.helmholtz-metadaten.de/msekg/174653521755241	nfdi matwerk consortium	IUC16_organization									IUCProcess 16		
https://purls.helmholtz-metadaten.de/msekg/174653521755242	nfdi matwerk consortium	IUC17_organization									IUCProcess 17		
